scale,ar,da,de,el,en,es,es_mx,et,fr,fr_be,he,hr,hu,hy,id,is,it,ja,ko,mk,nl,pt,ru,sl,sr,sv,tr
IPIP-16PF,23,34,41,24,163*,24,34,76,98,98,78,117,8,34,24,45,34,82,78,62,41,41,24,41,163*,163*,145
IPIP-6FPQ,18,44,37,20,229*,20,44,85,112,112,86,149,7,44,20,68,44,97,86,64,49,37,20,37,229*,229*,163
IPIP-6FPQ-AG,,1,,,10*,,1,2,3,3,2,10*,,1,,6,1,3,2,2,1,,,,10*,10*,10*
IPIP-6FPQ-AG1,,,,,8*,,,,,,,,,,,1,,,,,,,,,8*,8*,2
IPIP-6FPQ-AG2,3,4,5,2,10*,2,4,8,9,9,8,10*,1,4,2,7,4,9,8,7,5,5,2,5,10*,10*,8
IPIP-6FPQ-AG3,,,,,8*,,,1,1,1,1,1,,,,2,,1,1,,,,,,8*,8*,7
IPIP-6FPQ-EX,2,1,3,1,10*,1,1,3,4,4,3,10*,,1,1,3,1,5,3,3,1,3,1,3,10*,10*,5
IPIP-6FPQ-EX1,4,5,6,3,10*,3,5,8,10*,10*,8,10*,1,5,3,5,5,9,8,7,5,6,3,6,10*,10*,8
IPIP-6FPQ-EX2,,2,1,,10*,,2,3,4,4,3,4,,2,,1,2,3,3,3,2,1,,1,10*,10*,3
IPIP-6FPQ-EX3,2,,4,4,10*,4,,3,6,6,3,10*,1,,4,6,,3,3,1,1,4,4,4,10*,10*,5
IPIP-6FPQ-IP,,,,,10*,,,,,,,,,,,4,,,,,,,,,10*,10*,8
IPIP-6FPQ-IP1,,,,,10*,,,,,,,,,,,1,,,,,,,,,10*,10*,7
IPIP-6FPQ-IP2,,,,,9*,,,,,,,,,,,3,,,,,,,,,9*,9*,1
IPIP-6FPQ-IP3,,,,,10*,,,,,,,1,,,,2,,,,,,,,,10*,10*,7
IPIP-6FPQ-IT,,4,,,10*,,4,4,4,4,4,5,,4,,2,4,4,4,4,4,,,,10*,10*,3
IPIP-6FPQ-IT1,,4,2,1,10*,1,4,7,10*,10*,7,10*,,4,1,2,4,7,7,6,3,2,1,2,10*,10*,8
IPIP-6FPQ-IT2,,,2,,10*,,,3,3,3,3,9,1,,,,,3,3,2,,2,,2,10*,10*,9
IPIP-6FPQ-IT3,,4,1,1,10*,1,4,7,7,7,7,9,,4,1,1,4,7,7,5,5,1,1,1,10*,10*,7
IPIP-6FPQ-ME,4,1,5,5,10*,5,1,4,9,9,4,10*,1,1,5,5,1,9,4,3,3,5,5,5,10*,10*,9
IPIP-6FPQ-ME1,,,,,8*,,,1,1,1,1,1,,,,,,1,1,,,,,,8*,8*,8*
IPIP-6FPQ-ME2,,5,,,10*,,5,8,8,8,8,9,,5,,4,5,6,8,6,5,,,,10*,10*,6
IPIP-6FPQ-ME3,1,2,2,1,6*,1,2,2,3,3,2,3,,2,1,3,2,2,2,2,2,2,1,2,6*,6*,5
IPIP-6FPQ-OP,,3,3,1,10*,1,3,5,10*,10*,5,10*,1,3,1,2,3,7,5,2,4,3,1,3,10*,10*,9
IPIP-6FPQ-OP1,,3,,,10*,,3,6,7,7,6,7,,3,,,3,6,6,2,3,,,,10*,10*,10*
IPIP-6FPQ-OP2,2,2,3,1,10*,1,2,4,4,4,4,10*,,2,1,4,2,4,4,3,2,3,1,3,10*,10*,10*
IPIP-6FPQ-OP3,,3,,,10*,,3,6,9,9,7,10*,1,3,,4,3,8,7,6,3,,,,10*,10*,8
IPIP-7FACTOR,12,15,25,16,62*,16,15,26,38,38,26,44,2,15,16,22,15,28,26,21,17,25,16,25,62*,62*,44
IPIP-7FACTOR-AGR,4,5,6,6,10*,6,5,6,9,9,6,9,1,5,6,2,5,6,6,6,4,6,6,6,10*,10*,4
IPIP-7FACTOR-ATT,,1,1,,10*,,1,2,2,2,2,4,,1,,1,1,2,2,2,1,1,,1,10*,10*,8
IPIP-7FACTOR-CON,1,3,3,2,10*,2,3,7,9,9,7,10*,,3,2,4,3,7,7,6,4,3,2,3,10*,10*,9
IPIP-7FACTOR-ES,1,2,2,1,4*,1,2,3,4*,4*,3,4*,,2,1,2,2,3,3,2,2,2,1,2,4*,4*,3
IPIP-7FACTOR-EXT,3,3,4,2,9*,2,3,4,6,6,4,8,,3,2,5,3,5,4,2,4,4,2,4,9*,9*,6
IPIP-7FACTOR-INT,3,1,9*,5,9*,5,1,4,8,8,4,9*,1,1,5,6,1,5,4,3,2,9*,5,9*,9*,9*,8
IPIP-7FACTOR-NV,,,,,10*,,,,,,,,,,,2,,,,,,,,,10*,10*,6
IPIP-AB5C,37,68,74,38,445*,38,68,165,204,205,168,262,9,68,38,75,68,174,168,129,73,74,38,74,445*,445*,359
IPIP-AB5C-Ast,,3,,,11*,,3,5,5,5,5,5,,3,,,3,5,5,5,3,,,,11*,11*,8
IPIP-AB5C-Cau,,1,,,12*,,1,6,6,6,6,7,,1,,1,1,6,6,5,1,,,,12*,12*,10
IPIP-AB5C-Cht,,1,1,,10*,,1,3,3,4,3,4,,1,,3,1,3,3,,1,1,,1,10*,10*,8
IPIP-AB5C-Clm,,,,,5*,,,1,3,3,1,5*,,,,2,,2,1,,,,,,5*,5*,5*
IPIP-AB5C-Cmp,,1,,,8*,,1,1,1,1,1,2,,1,,,1,1,1,1,1,,,,8*,8*,3
IPIP-AB5C-Con,1,1,3,1,13*,1,1,2,3,3,2,4,,1,1,2,1,2,2,1,1,3,1,3,13*,13*,9
IPIP-AB5C-Coo,,2,,,12*,,2,4,5,5,4,6,,2,,,2,4,4,3,1,,,,12*,12*,11
IPIP-AB5C-Crt,,3,1,1,10*,1,3,6,6,6,6,7,,3,1,1,3,6,6,6,3,1,1,1,10*,10*,10*
IPIP-AB5C-Dep,,1,,,9*,,1,2,3,3,2,4,,1,,,1,3,2,1,1,,,,9*,9*,8
IPIP-AB5C-Dut,,1,,,13*,,1,3,3,3,3,4,,1,,1,1,3,3,1,1,,,,13*,13*,10
IPIP-AB5C-Eff,4,2,5,2,11*,2,2,6,8,8,6,11*,1,2,2,3,2,10,6,6,2,5,2,5,11*,11*,10
IPIP-AB5C-Emp,,,,,9*,,,2,2,2,2,6,,,,1,,2,2,1,,,,,9*,9*,8
IPIP-AB5C-Frl,,3,2,,9*,,3,6,6,6,6,9*,,3,,2,3,6,6,5,3,2,,2,9*,9*,8
IPIP-AB5C-Grg,3,,5,4,6*,4,,2,4,4,2,6*,,,4,4,,2,2,2,2,5,4,5,6*,6*,3
IPIP-AB5C-Hap,2,5,4,3,10*,3,5,8,9,9,8,10*,2,5,3,2,5,10*,8,6,6,4,3,4,10*,10*,10*
IPIP-AB5C-Img,1,5,1,1,7*,1,5,6,6,6,6,7*,1,5,1,4,5,6,6,5,5,1,1,1,7*,7*,6
IPIP-AB5C-Imp,,,1,,9*,,,3,3,3,3,4,,,,2,,3,3,3,,1,,1,9*,9*,6
IPIP-AB5C-Ing,4,,6,3,9*,3,,2,5,5,2,6,,,3,5,,3,2,1,1,6,3,6,9*,9*,8
IPIP-AB5C-Int,,,1,1,5*,1,,1,3,3,2,5*,,,1,,,2,2,2,,1,1,1,5*,5*,5*
IPIP-AB5C-Isp,1,1,1,1,12*,1,1,3,3,3,3,3,,1,1,,1,3,3,2,1,1,1,1,12*,12*,11
IPIP-AB5C-Ldr,1,2,3,1,9*,1,2,3,4,4,3,7,1,2,1,2,2,4,3,1,2,3,1,3,9*,9*,7
IPIP-AB5C-Mod,,4,,,10*,,4,6,7,7,6,9,,4,,2,4,4,6,5,4,,,,10*,10*,10*
IPIP-AB5C-Mor,,1,,,12*,,1,4,4,4,4,4,,1,,2,1,4,4,3,1,,,,12*,12*,7
IPIP-AB5C-Nur,,1,2,1,13*,1,1,3,4,4,3,5,,1,1,1,1,3,3,3,1,2,1,2,13*,13*,9
IPIP-AB5C-Ord,1,,1,1,6*,1,,,2,2,,3,,,1,,,,,,,1,1,1,6*,6*,6*
IPIP-AB5C-Org,,2,1,1,12*,1,2,4,5,5,4,5,,2,1,5,2,5,4,3,2,1,1,1,12*,12*,9
IPIP-AB5C-Pls,1,3,3,1,12*,1,3,5,6,6,6,10,1,3,1,5,3,7,6,5,3,3,1,3,12*,12*,9
IPIP-AB5C-Poi,2,5,3,1,10*,1,5,8,9,9,8,10*,2,5,1,3,5,9,8,7,4,3,1,3,10*,10*,7
IPIP-AB5C-Prf,1,,1,,9*,,,3,4,4,3,4,,,,4,,2,3,3,,1,,1,9*,9*,9*
IPIP-AB5C-Prv,,1,1,1,11*,1,1,4,5,5,4,7,,1,1,2,1,4,4,1,1,1,1,1,11*,11*,10
IPIP-AB5C-Pur,2,3,3,3,12*,3,3,5,8,8,5,9,1,3,3,,3,7,5,3,4,3,3,3,12*,12*,8
IPIP-AB5C-Qck,2,1,6,1,10*,1,1,5,7,7,5,8,,1,1,3,1,4,5,3,1,6,1,6,10*,10*,7
IPIP-AB5C-Rat,,1,1,,14*,,1,3,3,3,3,4,,1,,1,1,3,3,3,1,1,,1,14*,14*,8
IPIP-AB5C-Ref,,1,,,10*,,1,5,6,6,6,7,,1,,3,1,4,6,4,1,,,,10*,10*,7
IPIP-AB5C-Sdc,,1,,,10*,,1,4,4,4,4,7,,1,,,1,4,4,3,1,,,,10*,10*,10*
IPIP-AB5C-Soc,,,,,10*,,,3,3,3,3,3,,,,1,,2,3,3,,,,,10*,10*,9
IPIP-AB5C-Stb,4,1,7,4,10*,4,1,6,10*,10*,6,10*,,1,4,3,1,7,6,5,2,7,4,7,10*,10*,9
IPIP-AB5C-Sym,,3,,,13*,,3,5,5,5,5,7,,3,,1,3,5,5,4,3,,,,13*,13*,13*
IPIP-AB5C-Tgh,1,2,2,,12*,,2,4,4,4,4,6,,2,,1,2,4,4,3,2,2,,2,12*,12*,8
IPIP-AB5C-Tlk,,,,,10*,,,2,3,3,2,3,,,,2,,2,2,2,,,,,10*,10*,10*
IPIP-AB5C-Tnd,,1,,,13*,,1,2,2,2,2,2,,1,,1,1,,2,2,,,,,13*,13*,11
IPIP-AB5C-Trq,1,2,2,2,11*,2,2,5,5,5,5,6,,2,2,,2,5,5,3,4,2,2,2,11*,11*,9
IPIP-AB5C-Und,3,3,4,3,10*,3,3,3,5,5,3,5,,3,3,,3,3,3,3,3,4,3,4,10*,10*,6
IPIP-AB5C-Wrm,2,,3,1,6*,1,,1,2,2,1,6*,,,1,,,,1,1,,3,1,3,6*,6*,4
IPIP-ADHD,,,,,12*,,,,,,,,,,,2,,,,,,,,,12*,2,
IPIP-BFAS,16,27,28,14,100*,14,27,50,57,57,50,71,5,27,14,27,27,54,50,43,28,28,14,28,100*,100*,69
IPIP-BIDR,,9,1,1,40*,1,9,14,16,16,14,19,,9,1,9,9,13,14,11,9,1,1,1,40*,40*,20
IPIP-BISBAS,1,4,2,1,36*,1,4,12,13,13,12,15,,4,1,7,4,12,12,8,4,2,1,2,36*,32,12
IPIP-Big5-100,51,26,100*,50,100*,50,26,53,82,82,54,100*,9,26,50,46,26,65,54,40,37,100*,50,100*,100*,100*,82
IPIP-Big5-31,,,,,31*,,,,,,,,,,,,,,,,,,,,,,
IPIP-Big5-50,38,14,50*,50*,50*,50*,14,28,50*,50*,28,50*,6,14,50*,25,14,34,28,21,26,50*,50*,50*,50*,50*,39
IPIP-BriefSelfControl,,3,,,24*,,3,3,3,3,3,6,,3,,7,3,3,3,3,2,,,,24*,15,6
IPIP-Buss,,2,3,1,21*,1,2,9,11,11,9,12,1,2,1,3,2,10,9,8,3,3,1,3,21*,21*,12
IPIP-CATPD,7,15,9,4,216*,4,15,19,21,21,19,29,5,15,4,21,15,22,19,18,15,9,4,9,212,75,37
IPIP-CPI,30,50,51,29,313*,29,50,135,172,173,136,218,10,50,29,56,50,139,136,102,57,51,29,51,313*,313*,250
IPIP-CPI-Ac,1,,1,1,9*,1,,1,2,2,1,5,,,1,1,,1,1,1,,1,1,1,9*,9*,8
IPIP-CPI-Ai,2,1,2,1,10*,1,1,4,4,4,4,5,,1,1,4,1,5,4,3,1,2,1,2,10*,10*,9
IPIP-CPI-Ami,1,2,3,,10*,,2,7,9,9,7,10*,1,2,,4,2,7,7,5,2,3,,3,10*,10*,10*
IPIP-CPI-Clm,1,,2,2,10*,2,,3,4,4,3,6,,,2,,,4,3,2,2,2,2,2,10*,10*,9
IPIP-CPI-Cpx,,,,,8*,,,3,3,3,3,5,,,,1,,3,3,2,,,,,8*,8*,8*
IPIP-CPI-Dep,,1,1,1,10*,1,1,4,6,6,4,7,,1,1,1,1,4,4,2,1,1,1,1,10*,10*,8
IPIP-CPI-Dis,3,2,5,2,10*,2,2,7,8,9,7,10*,,2,2,7,2,6,7,6,3,5,2,5,10*,10*,8
