code,name,abbreviation,domain,n_items,license,url,citation,repository,languages,n_dimensions,has_scoring,checked_content,checked_output,checked_scoring,notes
AIAS4,AI Attitude Scale,AIAS-4,Technology,4,CC BY 4.0,https://doi.org/10.3389/fpsyg.2023.1191628,"Grassini, S. (2023). Development and validation of the AI attitude scale (AIAS-4): A brief measure of general attitude toward artificial intelligence. Frontiers in Psychology, 14, 1191628. https://doi.org/10.3389/fpsyg.2023.1191628",openscales,en,1,yes,1,1,1,
AOTE,Actively Open-Minded Thinking about Evidence Scale,AOT-E,Cognitive,8,CC BY 4.0,https://doi.org/10.1017/jdm.2024.37,"Pennycook, G., Cheyne, J. A., Koehler, D. J., & Fugelsang, J. A. (2020). On the belief that beliefs should change according to evidence: Implications for conspiratorial, moral, paranormal, political, religious, and science beliefs. Judgment and Decision Making, 15(4), 476–498. Brazilian validation: Bonafé-Pontes, A., Costa Bastos, R., & Pilati, R. (2025). Actively Open-Minded Thinking About Evidence (AOT-E) Scale: Adaptation and evidence of validity in a Brazilian sample. Judgment and Decision Making, 20, e3.",openscales,en,1,yes,1,1,1,
AUH,Alcohol Use History,AUH,Substance Use,15,Public Domain,https://arc.psych.wisc.edu/self-report/alcohol-use-history-auh/,,openscales,en,0,no,1,1,1,Clinical history questionnaire. No scoring. Conditional item 7b (visible_when). In-house ARC measure.
AUDIT,Alcohol Use Disorders Identification Test,AUDIT,Substance Use,10,Public Domain,https://www.who.int/publications/i/item/audit-the-alcohol-use-disorders-identification-test,"Saunders, J. B., Aasland, O. G., Babor, T. F., de la Fuente, J. R., & Grant, M. (1993). Development of the Alcohol Use Disorders Identification Test (AUDIT). Addiction, 88(6), 791-804. https://doi.org/10.1111/j.1360-0443.1993.tb02093.x",openscales,en,1,yes,1,1,1,
BAT12,Burnout Assessment Tool – Short Form,BAT-12,Work,12,CC BY 4.0,https://burnoutassessmenttool.be,"Schaufeli, W. B., De Witte, H., & Desart, S. (2020). Manual Burnout Assessment Tool (BAT) – Version 2.0. KU Leuven, Belgium. https://burnoutassessmenttool.be",openscales,en,4,yes,1,1,1,
BAT23,Burnout Assessment Tool,BAT-23,Work,33,CC BY 4.0,https://burnoutassessmenttool.be,"Schaufeli, W. B., Desart, S., & De Witte, H. (2020). Burnout Assessment Tool (BAT)—Development, validity, and reliability. International Journal of Environmental Research and Public Health, 17(24), 9495. https://doi.org/10.3390/ijerph17249495",openscales,"cs,de,el,en,es,fi,fr,hr,hu,it,nl,no,pl,pt,pt_BR,ro,ru,sl,sv,tr",6,yes,1,1,1,CC BY 4.0. 23 core + 10 secondary items. 33 translations available.
BAT4,Burnout Assessment Tool – Ultra-Short Form,BAT-4,Work,4,CC BY 4.0,https://burnoutassessmenttool.be,"Hadžibajramović, E., Schaufeli, W. B., & De Witte, H. (2024). The ultra-short version of the Burnout Assessment Tool (BAT-4)—development, validation, and measurement invariance across countries, age and gender. PLOS ONE, 19(2), e0297843. https://doi.org/10.1371/journal.pone.0297843",openscales,"cs,de,el,en,es,fi,fr,hr,hu,it,nl,no,pl,pt,pt_BR,ro,ru,sl,sv,tr",1,yes,1,1,1,
BATS,Burnout Assessment Tool – Student Version,BAT-S,Work,33,CC BY 4.0,https://burnoutassessmenttool.be,"Schaufeli, W. B., Desart, S., & De Witte, H. (2020). Burnout Assessment Tool (BAT)—Development, validity, and reliability. International Journal of Environmental Research and Public Health, 17(24), 9495. https://doi.org/10.3390/ijerph17249495. Student adaptation available at https://burnoutassessmenttool.be",openscales,"cs,de,el,en,es,fi,fr,hr,hu,it,nl,no,pl,pt,pt_BR,ro,ru,sl,sv,tr",6,yes,1,1,1,CC BY 4.0. Student version. 23 core + 10 secondary items. Citation updated.
BEDS,Brief Emotion Dysregulation Scale,BEDS,Mental Health,12,Free for research use,https://doi.org/10.1177/10731911231161800,"Wycoff, A. M., et al. (2023). The Brief Emotion Dysregulation Scale. Assessment, 31(2), 335-349.",openscales,en,3,yes,1,1,1,
BFNES,Brief Fear of Negative Evaluation Scale - Straightforward,BFNE-S,Anxiety,8,CC BY,https://doi.org/10.1177/0146167283093007,"Leary, M. R. (1983). A brief version of the Fear of Negative Evaluation Scale. PSPB, 9(3), 371-375.",openscales,en,1,yes,1,1,1,
BISS,Belief in Science Scale,BISS,Attitudes,10,CC BY,https://doi.org/10.1016/j.jesp.2013.05.008,"Farias, M., Newheiser, A.-K., Kahane, G., & de Toledo, Z. (2013). Scientific faith: Belief in science increases in the face of stress and existential anxiety. Journal of Experimental Social Psychology, 49(6), 1210–1213. https://doi.org/10.1016/j.jesp.2013.05.008",openscales,en,1,yes,1,1,1,
